Age Group,Birth Date,Code,Countries,Country,Country Code,Disciplines,Events,Function,Gender,Name,Age,Number of Female Athletes,Number of Male Athletes
36-40,23-Feb-87,1897639,Ukraine,Ukraine,UKR,Fencing,"Women's Épée Individual"", ""Women's Épée Team",Athlete,Female,KRYVYTSKA Olena,37,1,0
31-35,22-Oct-91,1897642,Ukraine,Ukraine,UKR,Fencing,"Women's Épée Individual"", ""Women's Épée Team",Athlete,Female,BEZHURA Dzhoan Feybi,33,1,0
25-30,29-Sep-96,1897640,Ukraine,Ukraine,UKR,Fencing,"Women's Épée Individual"", ""Women's Épée Team",Athlete,Female,KHARKOVA Vlada,28,1,0
25-30,13-Apr-99,1897643,Ukraine,Ukraine,UKR,Fencing,Women's Épée Team,Athlete,Female,VARFOLOMYEYEVA Darja,25,1,0
25-30,15-Jun-94,1950611,United States,United States,USA,Fencing,"Women's Foil Individual"", ""Women's Foil Team",Athlete,Female,KIEFER Lee,30,1,0
25-30,18-Jul-94,1950584,United States,United States,USA,Fencing,"Women's Foil Individual"", ""Women's Foil Team",Athlete,Female,DUBROVICH Jacqueline,30,1,0
18-24,27-Jan-03,1950643,United States,United States,USA,Fencing,"Women's Foil Individual"", ""Women's Foil Team",Athlete,Female,SCRUGGS Lauren,21,1,0
18-24,24-Oct-02,1950659,United States,United States,USA,Fencing,Women's Foil Team,Athlete,Female,WEINTRAUB Maia Mei,22,1,0
18-24,21-May-00,1950654,United States,United States,USA,Fencing,"Women's Sabre Individual"", ""Women's Sabre Team",Athlete,Female,TARTAKOVSKY Elizabeth,24,1,0
18-24,02-Sep-04,1950562,United States,United States,USA,Fencing,"Women's Sabre Individual"", ""Women's Sabre Team",Athlete,Female,NAZLYMOV Tatiana,20,1,0
18-24,20-Nov-05,1950648,United States,United States,USA,Fencing,"Women's Sabre Individual"", ""Women's Sabre Team",Athlete,Female,SKARBONKIEWICZ Magda,19,1,0
25-30,05-Jun-98,1950571,United States,United States,USA,Fencing,Women's Sabre Team,Athlete,Female,CHAMBERLAIN Maia,26,1,0
31-35,12-Sep-90,1950593,United States,United States,USA,Fencing,"Women's Épée Individual"", ""Women's Épée Team",Athlete,Female,GUZZI VINCENTI Margherita,34,1,0
25-30,03-Jul-98,1950570,United States,United States,USA,Fencing,"Women's Épée Individual"", ""Women's Épée Team",Athlete,Female,CEBULA Anne,26,1,0
18-24,26-Jul-03,1950600,United States,United States,USA,Fencing,"Women's Épée Individual"", ""Women's Épée Team",Athlete,Female,HUSISIAN Hadley,21,1,0
31-35,15-Jul-93,1950598,United States,United States,USA,Fencing,Women's Épée Team,Athlete,Female,HOLMES Katharine,31,1,0
18-24,19-Nov-02,1552368,Uzbekistan,Uzbekistan,UZB,Fencing,Women's Sabre Individual,Athlete,Female,DAYIBEKOVA Zaynab,22,1,0
25-30,22-May-98,1924957,Venezuela,Venezuela,VEN,Fencing,Women's Sabre Individual,Athlete,Female,PAREDES TORRES Katherine F,26,1,0
36-40,04-Jul-88,1941490,Australia,Australia,AUS,Football,Women,Athlete,Female,HEYMAN Michelle,36,1,0
31-35,01-Feb-89,1941464,Australia,Australia,AUS,Football,Women,Athlete,Female,POLKINGHORNE Clare,35,1,0
31-35,16-Jun-91,1941498,Australia,Australia,AUS,Football,Women,Athlete,Female,YALLOP Tameka,33,1,0
31-35,13-Aug-92,1941482,Australia,Australia,AUS,Football,Women,Athlete,Female,GORRY Katrina,32,1,0
31-35,12-Jul-93,1941473,Australia,Australia,AUS,Football,Women,Athlete,Female,van EGMOND Emily,31,1,0
25-30,26-Jan-94,1941497,Australia,Australia,AUS,Football,Women,Athlete,Female,CATLEY Steph,30,1,0
25-30,25-Feb-94,1941487,Australia,Australia,AUS,Football,Women,Athlete,Female,ARNOLD Mackenzie,30,1,0
25-30,05-Sep-94,1941475,Australia,Australia,AUS,Football,Women,Athlete,Female,RASO Hayley,30,1,0
25-30,11-Nov-94,1941458,Australia,Australia,AUS,Football,Women,Athlete,Female,FOORD Caitlin,30,1,0
25-30,21-Jan-95,1941452,Australia,Australia,AUS,Football,Women,Athlete,Female,KENNEDY Alanna,29,1,0
25-30,20-Oct-97,1941499,Australia,Australia,AUS,Football,Women,Athlete,Female,MICAH Teagan,27,1,0
25-30,14-Jan-98,1941466,Australia,Australia,AUS,Football,Women,Athlete,Female,WHEELER Clare,26,1,0
25-30,09-Apr-98,1941467,Australia,Australia,AUS,Football,Women,Athlete,Female,VINE Cortnee,26,1,0
25-30,12-Mar-99,1941465,Australia,Australia,AUS,Football,Women,Athlete,Female,HUNT Clare,25,1,0
18-24,17-Mar-00,1941480,Australia,Australia,AUS,Football,Women,Athlete,Female,TORPEY Kaitlyn,24,1,0
18-24,28-Apr-00,1941471,Australia,Australia,AUS,Football,Women,Athlete,Female,CARPENTER Ellie,24,1,0
18-24,24-Jul-01,1941495,Australia,Australia,AUS,Football,Women,Athlete,Female,FREIER Sharn,23,1,0
18-24,15-Feb-02,1941484,Australia,Australia,AUS,Football,Women,Athlete,Female,COONEY-CROSS Kyra,22,1,0
18-24,14-Feb-03,1941489,Australia,Australia,AUS,Football,Women,Athlete,Female,FOWLER Mary,21,1,0
36-40,19-Feb-86,1967617,Brazil,Brazil,BRA,Football,Women,Athlete,Female,MARTA,38,1,0
36-40,24-Jul-87,1967607,Brazil,Brazil,BRA,Football,Women,Athlete,Female,LUCIANA,37,1,0
36-40,10-Oct-87,1967626,Brazil,Brazil,BRA,Football,Women,Athlete,Female,TAMIRES,37,1,0
31-35,18-Jun-91,1967625,Brazil,Brazil,BRA,Football,Women,Athlete,Female,RAFAELLE,33,1,0
25-30,26-Apr-94,1967575,Brazil,Brazil,BRA,Football,Women,Athlete,Female,ANTONIA,30,1,0
25-30,01-Dec-94,1967612,Brazil,Brazil,BRA,Football,Women,Athlete,Female,LUDMILA,30,1,0
25-30,01-May-95,1967630,Brazil,Brazil,BRA,Football,Women,Athlete,Female,TAINA,29,1,0
25-30,18-Jul-95,1967593,Brazil,Brazil,BRA,Football,Women,Athlete,Female,GABI PORTILHO,29,1,0
25-30,01-May-96,1967628,Brazil,Brazil,BRA,Football,Women,Athlete,Female,THAIS,28,1,0
25-30,28-Oct-96,1967636,Brazil,Brazil,BRA,Football,Women,Athlete,Female,YASMIM,28,1,0
25-30,17-Nov-96,1967574,Brazil,Brazil,BRA,Football,Women,Athlete,Female,ADRIANA,28,1,0
25-30,10-Mar-97,1967594,Brazil,Brazil,BRA,Football,Women,Athlete,Female,GABI NUNES,27,1,0
25-30,06-May-97,1967608,Brazil,Brazil,BRA,Football,Women,Athlete,Female,LORENA,27,1,0
25-30,17-Nov-99,1967602,Brazil,Brazil,BRA,Football,Women,Athlete,Female,KEROLIN,25,1,0
18-24,26-Jan-00,1967567,Brazil,Brazil,BRA,Football,Women,Athlete,Female,ANGELINA,24,1,0
18-24,06-Mar-00,1967565,Brazil,Brazil,BRA,Football,Women,Athlete,Female,ANA VITORIA,24,1,0
18-24,18-May-01,1967616,Brazil,Brazil,BRA,Football,Women,Athlete,Female,DUDA SAMPAIO,23,1,0
18-24,06-Nov-01,1967599,Brazil,Brazil,BRA,Football,Women,Athlete,Female,JHENIFFER,23,1,0
18-24,23-Jan-02,1967635,Brazil,Brazil,BRA,Football,Women,Athlete,Female,VITORIA YAYA,22,1,0
18-24,13-Sep-02,1967606,Brazil,Brazil,BRA,Football,Women,Athlete,Female,LAUREN,22,1,0
18-24,27-May-03,1967629,Brazil,Brazil,BRA,Football,Women,Athlete,Female,TARCIANE,21,1,0
18-24,22-Aug-04,1967623,Brazil,Brazil,BRA,Football,Women,Athlete,Female,PRISCILA,20,1,0
31-35,02-Oct-92,1967208,Canada,Canada,CAN,Football,Women,Athlete,Female,LEON Adriana,32,1,0
31-35,23-Oct-92,1967236,Canada,Canada,CAN,Football,Women,Athlete,Female,ZADORSKY Shelina,32,1,0
31-35,11-May-93,1967192,Canada,Canada,CAN,Football,Women,Athlete,Female,D'ANGELO Sabrina,31,1,0
31-35,06-Jul-93,1967203,Canada,Canada,CAN,Football,Women,Athlete,Female,LACASSE Cloe,31,1,0
25-30,20-Aug-94,1967181,Canada,Canada,CAN,Football,Women,Athlete,Female,BECKIE Janine,30,1,0
25-30,19-Feb-95,1967216,Canada,Canada,CAN,Football,Women,Athlete,Female,PRINCE Nichelle,29,1,0
25-30,11-Jun-95,1967207,Canada,Canada,CAN,Football,Women,Athlete,Female,LAWRENCE Ashley,29,1,0
25-30,16-Jul-95,1967225,Canada,Canada,CAN,Football,Women,Athlete,Female,SHERIDAN Kailen,29,1,0
25-30,11-Aug-95,1967218,Canada,Canada,CAN,Football,Women,Athlete,Female,QUINN,29,1,0
25-30,11-Nov-95,1967183,Canada,Canada,CAN,Football,Women,Athlete,Female,BUCHANAN Kadeisha,29,1,0
25-30,11-Mar-96,1967196,Canada,Canada,CAN,Football,Women,Athlete,Female,GILLES Vanessa,28,1,0
25-30,06-Feb-97,1967232,Canada,Canada,CAN,Football,Women,Athlete,Female,VIENS Evelyne,27,1,0
25-30,10-Mar-98,1967194,Canada,Canada,CAN,Football,Women,Athlete,Female,FLEMING Jessie,26,1,0
25-30,12-Oct-98,1967185,Canada,Canada,CAN,Football,Women,Athlete,Female,CARLE Gabrielle,26,1,0
18-24,28-Aug-00,1967197,Canada,Canada,CAN,Football,Women,Athlete,Female,GROSSO Julia,24,1,0
18-24,22-Jan-01,1967220,Canada,Canada,CAN,Football,Women,Athlete,Female,RIVIERE Jayde,23,1,0
18-24,07-May-01,1967200,Canada,Canada,CAN,Football,Women,Athlete,Female,HUITEMA Jordyn,23,1,0
18-24,12-Feb-03,1967221,Canada,Canada,CAN,Football,Women,Athlete,Female,ROSE Jade,21,1,0
18-24,23-Sep-03,1967180,Canada,Canada,CAN,Football,Women,Athlete,Female,AWUJO Simi,21,1,0
36-40,03-Mar-88,1918223,Colombia,Colombia,COL,Football,Women,Athlete,Female,SEPULVEDA Sandra,36,1,0
31-35,25-Dec-89,1918303,Colombia,Colombia,COL,Football,Women,Athlete,Female,USME Catalina,35,1,0
31-35,22-Aug-90,1917542,Colombia,Colombia,COL,Football,Women,Athlete,Female,MONTOYA Daniela,34,1,0
31-35,02-Sep-90,1912502,Colombia,Colombia,COL,Football,Women,Athlete,Female,ARIAS Carolina,34,1,0
31-35,16-Sep-92,1918142,Colombia,Colombia,COL,Football,Women,Athlete,Female,SALAZAR Liana,32,1,0
31-35,07-Dec-92,1918231,Colombia,Colombia,COL,Football,Women,Athlete,Female,TAPIA Katherine,32,1,0
25-30,31-Aug-94,1912496,Colombia,Colombia,COL,Football,Women,Athlete,Female,ARIAS Daniela,30,1,0
25-30,08-Nov-94,1917583,Colombia,Colombia,COL,Football,Women,Athlete,Female,PEREZ Catalina,30,1,0
25-30,10-Nov-95,1918114,Colombia,Colombia,COL,Football,Women,Athlete,Female,RESTREPO Marcela,29,1,0
25-30,16-May-96,1918181,Colombia,Colombia,COL,Football,Women,Athlete,Female,SANTOS Leicy,28,1,0
25-30,25-Apr-97,1913009,Colombia,Colombia,COL,Football,Women,Athlete,Female,CARACAS Daniela,27,1,0
25-30,18-May-97,1913005,Colombia,Colombia,COL,Football,Women,Athlete,Female,CARABALI Jorelyn,27,1,0
25-30,25-Mar-99,1918067,Colombia,Colombia,COL,Football,Women,Athlete,Female,RAMIREZ Mayra,25,1,0
18-24,09-Nov-00,1918306,Colombia,Colombia,COL,Football,Women,Athlete,Female,VANEGAS Manuela,24,1,0
18-24,23-Dec-00,1917571,Colombia,Colombia,COL,Football,Women,Athlete,Female,PAVI Manuela,24,1,0
18-24,14-Jun-02,1917364,Colombia,Colombia,COL,Football,Women,Athlete,Female,IZQUIERDO Ilana,22,1,0
18-24,10-Nov-02,1918063,Colombia,Colombia,COL,Football,Women,Athlete,Female,QUEJADA MINOTA Yirleidys,22,1,0
18-24,18-Sep-03,1912638,Colombia,Colombia,COL,Football,Women,Athlete,Female,BARON Angela,21,1,0
18-24,22-Feb-05,1912774,Colombia,Colombia,COL,Football,Women,Athlete,Female,CAICEDO Linda,19,1,0
31-35,09-May-90,1960006,Spain,Spain,ESP,Football,Women,Athlete,Female,HERMOSO Jennifer,34,1,0
31-35,04-Jul-91,1960048,Spain,Spain,ESP,Football,Women,Athlete,Female,PAREDES Irene,33,1,0
25-30,04-Feb-94,1960058,Spain,Spain,ESP,Football,Women,Athlete,Female,PUTELLAS Alexia,30,1,0
25-30,19-Mar-96,1959967,Spain,Spain,ESP,Football,Women,Athlete,Female,CALDENTEY Mariona,28,1,0
25-30,27-Aug-96,1960064,Spain,Spain,ESP,Football,Women,Athlete,Female,REDONDO Alba,28,1,0
25-30,18-Jan-98,1959965,Spain,Spain,ESP,Football,Women,Athlete,Female,BONMATI Aitana,26,1,0
25-30,17-May-98,1960005,Spain,Spain,ESP,Football,Women,Athlete,Female,GUIJARRO Patri,26,1,0
25-30,14-Jul-98,1959997,Spain,Spain,ESP,Football,Women,Athlete,Female,GARCIA Lucia,26,1,0
25-30,10-Jun-99,1959961,Spain,Spain,ESP,Football,Women,Athlete,Female,BATLLE Ona,25,1,0
25-30,22-Jul-99,1960065,Spain,Spain,ESP,Football,Women,Athlete,Female,RODRIGUEZ Misa,25,1,0
18-24,09-Jan-00,1959947,Spain,Spain,ESP,Football,Women,Athlete,Female,ABELLEIRA Teresa,24,1,0
18-24,22-Jan-00,1959975,Spain,Spain,ESP,Football,Women,Athlete,Female,CODINA Laia,24,1,0
18-24,04-May-00,1960008,Spain,Spain,ESP,Football,Women,Athlete,Female,HERNANDEZ Oihane,24,1,0
18-24,12-Jun-00,1959973,Spain,Spain,ESP,Football,Women,Athlete,Female,CARMONA Olga,24,1,0
18-24,25-Aug-00,1959949,Spain,Spain,ESP,Football,Women,Athlete,Female,ALEIXANDRI Laia,24,1,0
18-24,24-Oct-00,1959980,Spain,Spain,ESP,Football,Women,Athlete,Female,del CASTILLO Athenea,24,1,0
18-24,27-Jan-01,1960038,Spain,Spain,ESP,Football,Women,Athlete,Female,NAVARRO Eva,23,1,0
18-24,10-Apr-01,1960030,Spain,Spain,ESP,Football,Women,Athlete,Female,MENDEZ Maria,23,1,0
18-24,23-Apr-01,1959976,Spain,Spain,ESP,Football,Women,Athlete,Female,COLL Cata,23,1,0
18-24,07-May-02,1960015,Spain,Spain,ESP,Football,Women,Athlete,Female,LETE Elene,22,1,0
18-24,13-Nov-03,1960046,Spain,Spain,ESP,Football,Women,Athlete,Female,PARALLUELO Salma,21,1,0
18-24,26-Jul-06,1960019,Spain,Spain,ESP,Football,Women,Athlete,Female,LOPEZ Vicky,18,1,0
31-35,18-May-89,1930161,France,France,FRA,Football,Women,Athlete,Female,le SOMMER Eugenie,35,1,0
31-35,28-Sep-89,1930141,France,France,FRA,Football,Women,Athlete,Female,HENRY Amandine,35,1,0
31-35,20-Jul-90,1930130,France,France,FRA,Football,Women,Athlete,Female,RENARD Wendie,34,1,0
31-35,31-Jul-91,1930136,France,France,FRA,Football,Women,Athlete,Female,DALI Kenza,33,1,0
31-35,17-Mar-92,1930118,France,France,FRA,Football,Women,Athlete,Female,PEYRAUD-MAGNIN Pauline,32,1,0
25-30,24-Dec-94,1930129,France,France,FRA,Football,Women,Athlete,Female,PERISSET Eve,30,1,0
25-30,26-Feb-95,1930126,France,France,FRA,Football,Women,Athlete,Female,MBOCK BATHY Griedge,29,1,0
25-30,01-Apr-95,1930156,France,France,FRA,Football,Women,Athlete,Female,DIANI Kadidiatou,29,1,0
25-30,13-Jul-95,1930147,France,France,FRA,Football,Women,Athlete,Female,TOLETTI Sandie,29,1,0
25-30,26-Jan-96,1930123,France,France,FRA,Football,Women,Athlete,Female,KARCHAOUI Sakina,28,1,0
25-30,05-Feb-97,1930155,France,France,FRA,Football,Women,Athlete,Female,CASCARINO Delphine,27,1,0
25-30,05-Feb-97,1930121,France,France,FRA,Football,Women,Athlete,Female,CASCARINO Estelle,27,1,0
25-30,02-Jul-97,1930140,France,France,FRA,Football,Women,Athlete,Female,GEYORO Grace,27,1,0
25-30,11-Jan-98,1930122,France,France,FRA,Football,Women,Athlete,Female,de ALMEIDA Elisa,26,1,0
25-30,05-Jul-98,1930119,France,France,FRA,Football,Women,Athlete,Female,PICAUD Constance,26,1,0
25-30,01-Nov-98,1930160,France,France,FRA,Football,Women,Athlete,Female,KATOTO Marie-Antoinette,26,1,0
18-24,19-Feb-00,1930151,France,France,FRA,Football,Women,Athlete,Female,BALTIMORE Sandy,24,1,0
18-24,27-May-00,1930124,France,France,FRA,Football,Women,Athlete,Female,LAKRAR Maelle,24,1,0
18-24,09-Nov-00,1930133,France,France,FRA,Football,Women,Athlete,Female,BACHA Selma,24,1,0
18-24,03-Oct-03,1930152,France,France,FRA,Football,Women,Athlete,Female,BECHO Vicki,21,1,0
31-35,17-Apr-90,1880595,Germany,Germany,GER,Football,Women,Athlete,Female,HEGERING Marina,34,1,0
31-35,09-Oct-90,1880602,Germany,Germany,GER,Football,Women,Athlete,Female,BERGER Ann-Katrin,34,1,0
31-35,06-Apr-91,1880564,Germany,Germany,GER,Football,Women,Athlete,Female,POPP Alexandra,33,1,0
31-35,17-Nov-91,1880565,Germany,Germany,GER,Football,Women,Athlete,Female,DOORSOUN Sara,33,1,0
31-35,06-Apr-92,1880566,Germany,Germany,GER,Football,Women,Athlete,Female,HENDRICH Kathrin,32,1,0
25-30,28-Jan-95,1880591,Germany,Germany,GER,Football,Women,Athlete,Female,FROHMS Merle,29,1,0
25-30,30-Apr-96,1880571,Germany,Germany,GER,Football,Women,Athlete,Female,RAUCH Felicitas,28,1,0
25-30,01-Oct-97,1880609,Germany,Germany,GER,Football,Women,Athlete,Female,SENSS Elisa,27,1,0
25-30,12-Nov-97,1880572,Germany,Germany,GER,Football,Women,Athlete,Female,SCHUELLER Lea,27,1,0
25-30,01-Feb-98,1880573,Germany,Germany,GER,Football,Women,Athlete,Female,FREIGANG Laura,26,1,0
25-30,12-Nov-98,1880606,Germany,Germany,GER,Football,Women,Athlete,Female,SCHULZE SOLANO Bibiane,26,1,0
25-30,11-Jun-99,1880574,Germany,Germany,GER,Football,Women,Athlete,Female,MINGE Janina,25,1,0
25-30,02-Jul-99,1880575,Germany,Germany,GER,Football,Women,Athlete,Female,GWINN Giulia,25,1,0
25-30,26-Oct-99,1880576,Germany,Germany,GER,Football,Women,Athlete,Female,LINDER Sarai,25,1,0
18-24,10-Feb-00,1880578,Germany,Germany,GER,Football,Women,Athlete,Female,ANYOMI Nicole,24,1,0
18-24,19-Jun-00,1880581,Germany,Germany,GER,Football,Women,Athlete,Female,LOHMANN Sydney,24,1,0
18-24,07-Dec-00,1880583,Germany,Germany,GER,Football,Women,Athlete,Female,BUEHL Klara,24,1,0
18-24,22-Jan-01,1880584,Germany,Germany,GER,Football,Women,Athlete,Female,NUESKEN Sjoeke,23,1,0
18-24,07-Aug-01,1880610,Germany,Germany,GER,Football,Women,Athlete,Female,ENDEMANN Vivien,23,1,0
18-24,16-Oct-02,1880592,Germany,Germany,GER,Football,Women,Athlete,Female,BRAND Jule,22,1,0
31-35,17-Oct-90,1888214,Japan,Japan,JPN,Football,Women,Athlete,Female,KUMAGAI Saki,34,1,0
25-30,28-Apr-94,1888209,Japan,Japan,JPN,Football,Women,Athlete,Female,TANAKA Mina,30,1,0
25-30,29-Sep-95,1888196,Japan,Japan,JPN,Football,Women,Athlete,Female,YAMASHITA Ayaka,29,1,0
25-30,15-Jun-96,1888219,Japan,Japan,JPN,Football,Women,Athlete,Female,SHIMIZU Risa,28,1,0
25-30,08-Aug-96,1888173,Japan,Japan,JPN,Football,Women,Athlete,Female,SEIKE Kiko,28,1,0
25-30,22-Aug-96,1888170,Japan,Japan,JPN,Football,Women,Athlete,Female,MORIYA Miyabi,28,1,0
25-30,31-Dec-96,1888184,Japan,Japan,JPN,Football,Women,Athlete,Female,HIRAO Chika,28,1,0
25-30,29-Jan-97,1888203,Japan,Japan,JPN,Football,Women,Athlete,Female,HASEGAWA Yui,27,1,0
25-30,10-May-97,1888156,Japan,Japan,JPN,Football,Women,Athlete,Female,KITAGAWA Hikaru,27,1,0
25-30,19-May-98,1888195,Japan,Japan,JPN,Football,Women,Athlete,Female,HAYASHI Honoka,26,1,0
25-30,07-Dec-98,1888212,Japan,Japan,JPN,Football,Women,Athlete,Female,MINAMI Moeka,26,1,0
25-30,09-Mar-99,1888182,Japan,Japan,JPN,Football,Women,Athlete,Female,NAGANO Fuka,25,1,0
25-30,30-Apr-99,1888172,Japan,Japan,JPN,Football,Women,Athlete,Female,CHIBA Remina,25,1,0
25-30,30-Jul-99,1888175,Japan,Japan,JPN,Football,Women,Athlete,Female,UEKI Riko,25,1,0
25-30,28-Nov-99,1888181,Japan,Japan,JPN,Football,Women,Athlete,Female,MIYAZAWA Hinata,25,1,0
18-24,19-Feb-00,1888188,Japan,Japan,JPN,Football,Women,Athlete,Female,TAKAHASHI Hana,24,1,0
18-24,11-Jul-02,1888169,Japan,Japan,JPN,Football,Women,Athlete,Female,OHBA Shu,22,1,0
18-24,04-Jul-03,1888160,Japan,Japan,JPN,Football,Women,Athlete,Female,ISHIKAWA Rion,21,1,0
18-24,27-Jan-04,1888174,Japan,Japan,JPN,Football,Women,Athlete,Female,FUJINO Aoba,20,1,0
18-24,09-May-04,1888179,Japan,Japan,JPN,Football,Women,Athlete,Female,HAMANO Maika,20,1,0
18-24,07-May-05,1888159,Japan,Japan,JPN,Football,Women,Athlete,Female,TANIKAWA Momoko,19,1,0
18-24,06-Jan-06,1888158,Japan,Japan,JPN,Football,Women,Athlete,Female,KOGA Toko,18,1,0
36-40,02-May-87,1975991,Nigeria,Nigeria,NGR,Football,Women,Athlete,Female,OLUEHI Tochukwu,37,1,0
31-35,21-Dec-91,1975390,Nigeria,Nigeria,NGR,Football,Women,Athlete,Female,OHALE Osinachi,33,1,0
25-30,25-Feb-94,1976006,Nigeria,Nigeria,NGR,Football,Women,Athlete,Female,ONUMONU Ifeoma,30,1,0
25-30,09-Oct-94,1976022,Nigeria,Nigeria,NGR,Football,Women,Athlete,Female,OSHOALA Asisat,30,1,0
25-30,22-Apr-95,1977277,Nigeria,Nigeria,NGR,Football,Women,Athlete,Female,PAYNE Toni,29,1,0
25-30,27-Mar-97,1975967,Nigeria,Nigeria,NGR,Football,Women,Athlete,Female,OKORONKWO Esther,27,1,0
25-30,28-Apr-97,1971874,Nigeria,Nigeria,NGR,Football,Women,Athlete,Female,ALOZIE Michelle,27,1,0
25-30,30-Apr-97,1973931,Nigeria,Nigeria,NGR,Football,Women,Athlete,Female,IHEZUO Chinwendu,27,1,0
25-30,20-Jun-97,1974825,Nigeria,Nigeria,NGR,Football,Women,Athlete,Female,KANU Uchenna,27,1,0
25-30,01-Oct-99,3538833,Nigeria,Nigeria,NGR,Football,Women,Athlete,Female,MACLEANS Chinonyerem,25,1,0
25-30,08-Dec-99,1971542,Nigeria,Nigeria,NGR,Football,Women,Athlete,Female,AJIBADE Rasheedat,25,1,0
18-24,11-Aug-00,1975955,Nigeria,Nigeria,NGR,Football,Women,Athlete,Female,OKEKE Chidinma,24,1,0
18-24,08-Dec-00,1975075,Nigeria,Nigeria,NGR,Football,Women,Athlete,Female,NNADOZIE Chiamaka,24,1,0
18-24,25-Dec-00,1977963,Nigeria,Nigeria,NGR,Football,Women,Athlete,Female,UCHEIBE Christy,24,1,0
18-24,18-Jan-01,1977286,Nigeria,Nigeria,NGR,Football,Women,Athlete,Female,PAYNE Nicole,23,1,0
18-24,22-Mar-01,3538789,Nigeria,Nigeria,NGR,Football,Women,Athlete,Female,ECHEGINI Jennifer,23,1,0
18-24,13-Mar-02,1974672,Nigeria,Nigeria,NGR,Football,Women,Athlete,Female,DEMEHIN Blessing,22,1,0
18-24,02-Nov-03,1971188,Nigeria,Nigeria,NGR,Football,Women,Athlete,Female,ABIODUN Deborah,21,1,0
31-35,06-Mar-91,1944907,New Zealand,New Zealand,NZL,Football,Women,Athlete,Female,ESSON Victoria,33,1,0
31-35,01-Jul-91,1944895,New Zealand,New Zealand,NZL,Football,Women,Athlete,Female,LONGO Annalie,33,1,0
31-35,17-Jun-93,1944901,New Zealand,New Zealand,NZL,Football,Women,Athlete,Female,STOTT Rebekah,31,1,0
25-30,15-Apr-94,1944944,New Zealand,New Zealand,NZL,Football,Women,Athlete,Female,BOWEN Katie,30,1,0
25-30,22-Apr-95,1944914,New Zealand,New Zealand,NZL,Football,Women,Athlete,Female,BOTT C.J,29,1,0
25-30,04-Jun-96,1944963,New Zealand,New Zealand,NZL,Football,Women,Athlete,Female,MOORE Meikayla,28,1,0
25-30,17-Aug-98,1944964,New Zealand,New Zealand,NZL,Football,Women,Athlete,Female,GREEN Ally,26,1,0
25-30,06-Sep-98,1944947,New Zealand,New Zealand,NZL,Football,Women,Athlete,Female,KITCHING Katie,26,1,0
25-30,09-Jan-99,1944918,New Zealand,New Zealand,NZL,Football,Women,Athlete,Female,FOSTER Michaela,25,1,0
25-30,18-Jan-99,1944865,New Zealand,New Zealand,NZL,Football,Women,Athlete,Female,STEINMETZ Malia,25,1,0
25-30,19-Feb-99,1944930,New Zealand,New Zealand,NZL,Football,Women,Athlete,Female,HAND Jacqui,25,1,0
25-30,10-Apr-99,1944899,New Zealand,New Zealand,NZL,Football,Women,Athlete,Female,JALE Grace,25,1,0
18-24,11-Apr-01,1944894,New Zealand,New Zealand,NZL,Football,Women,Athlete,Female,BARRY Mackenzie,23,1,0
18-24,26-Jun-01,1944920,New Zealand,New Zealand,NZL,Football,Women,Athlete,Female,LEAT Anna,23,1,0
18-24,07-Jul-01,1944878,New Zealand,New Zealand,NZL,Football,Women,Athlete,Female,RENNIE Gabi,23,1,0
18-24,20-Dec-01,1944936,New Zealand,New Zealand,NZL,Football,Women,Athlete,Female,RILEY Indiah-Paige,23,1,0
18-24,11-Jul-02,1944932,New Zealand,New Zealand,NZL,Football,Women,Athlete,Female,FRASER Macey,22,1,0
18-24,21-Oct-03,1944935,New Zealand,New Zealand,NZL,Football,Women,Athlete,Female,TAYLOR Kate,21,1,0
18-24,01-Nov-05,1944855,New Zealand,New Zealand,NZL,Football,Women,Athlete,Female,CLEGG Milly,19,1,0
36-40,20-Apr-88,1943575,United States,United States,USA,Football,Women,Athlete,Female,NAEHER Alyssa,36,1,0
31-35,23-Aug-90,1943566,United States,United States,USA,Football,Women,Athlete,Female,KRUEGER Casey,34,1,0
31-35,03-Jul-92,1943588,United States,United States,USA,Football,Women,Athlete,Female,DUNN Crystal,32,1,0
31-35,21-May-93,1943596,United States,United States,USA,Football,Women,Athlete,Female,WILLIAMS Lynn,31,1,0
31-35,25-Nov-93,1943587,United States,United States,USA,Football,Women,Athlete,Female,SONNETT Emily,31,1,0
25-30,26-May-94,1943558,United States,United States,USA,Football,Women,Athlete,Female,HORAN Lindsey,30,1,0
25-30,14-May-95,1943567,United States,United States,USA,Football,Women,Athlete,Female,LAVELLE Rose,29,1,0
25-30,25-Apr-96,1943574,United States,United States,USA,Football,Women,Athlete,Female,MURPHY Casey,28,1,0
25-30,29-Apr-98,1943591,United States,United States,USA,Football,Women,Athlete,Female,SWANSON Mallory,26,1,0
25-30,05-Jul-98,1943553,United States,United States,USA,Football,Women,Athlete,Female,FOX Emily,26,1,0
25-30,19-Sep-98,1943550,United States,United States,USA,Football,Women,Athlete,Female,DAVIDSON Tierna,26,1,0
25-30,31-Dec-98,1943547,United States,United States,USA,Football,Women,Athlete,Female,COFFEY Samantha,26,1,0
25-30,01-Jul-99,1943569,United States,United States,USA,Football,Women,Athlete,Female,SAMS Emily,25,1,0
18-24,14-Jun-00,1943555,United States,United States,USA,Football,Women,Athlete,Female,GIRMA Naomi,24,1,0
