Birth Date (Medallists.Csv),Code (Medallists.Csv),Country (Medallists.Csv),Country Code (Medallists.Csv),Discipline,Event,Gender (Medallists.Csv),Medal Code,Medal Date,Medal Type,Name (Medallists.Csv),Number of Female Medallists,Number of Male Medallists
09-Dec-98,1559512,France,FRA,Sailing,Women's Kite,Female,2,,Silver ,NOLOT Lauriane,1,0
01-Nov-93,1970517,Netherlands,NED,Sailing,Women's Kite,Female,3,,Bronze ,LAMMERTS Annelous,1,0
11-Mar-97,1940329,Indonesia,INA,Sport Climbing,Men's Speed,Male,1,,Gold ,LEONARDO Veddriq,0,1
15-Oct-02,1913699,China,CHN,Sport Climbing,Men's Speed,Male,2,,Silver ,WU Peng,0,1
27-Feb-06,1950309,United States,USA,Sport Climbing,Men's Speed,Male,3,,Bronze ,WATSON Sam,0,1
23-Mar-02,1887714,Uzbekistan,UZB,Taekwondo,Men -68kg,Male,1,,Gold ,RASHITOV Ulugbek,0,1
19-Jun-01,1537401,Jordan,JOR,Taekwondo,Men -68kg,Male,2,,Silver ,KAREEM Zaid,0,1
10-Sep-00,1910367,China,CHN,Taekwondo,Men -68kg,Male,3,,Bronze ,LIANG Yushuai,0,1
11-Oct-97,1955815,Brazil,BRA,Taekwondo,Men -68kg,Male,3,,Bronze ,PONTES Edival,0,1
17-Oct-00,1904038,Korea,KOR,Taekwondo,Women -57kg,Female,1,,Gold ,KIM Yujin,1,0
01-Aug-98,1536067,IR Iran,IRI,Taekwondo,Women -57kg,Female,2,,Silver ,KIYANICHANDEH Nahid,1,0
06-Jun-99,1966505,Canada,CAN,Taekwondo,Women -57kg,Female,3,,Bronze ,PARK Skylar,1,0
10-Jul-98,2493835,Bulgaria,BUL,Taekwondo,Women -57kg,Female,3,,Bronze ,KIMIA Alizadeh,1,0
17-Jun-03,1941786,Indonesia,INA,Weightlifting,Men's 73kg,Male,1,,Gold ,JUNIANSYAH Rizki,0,1
10-Aug-04,1898067,Thailand,THA,Weightlifting,Men's 73kg,Male,2,,Silver ,WICHUMA Weeraphon,0,1
17-Jan-97,1902787,Bulgaria,BUL,Weightlifting,Men's 73kg,Male,3,,Bronze ,ANDREEV Bozhidar Dimitrov,0,1
02-Apr-01,1918379,China,CHN,Weightlifting,Women's 59kg,Female,1,,Gold ,LUO Shifang,1,0
28-Apr-93,1965815,Canada,CAN,Weightlifting,Women's 59kg,Female,2,,Silver ,CHARRON Maude,1,0
26-Nov-93,1569563,Chinese Taipei,TPE,Weightlifting,Women's 59kg,Female,3,,Bronze ,KUO Hsing-Chun,1,0
15-Jul-03,1544928,IR Iran,IRI,Wrestling,Men's Greco-Roman 67kg,Male,1,,Gold ,ESMAEILI LEIVESI Saeid,0,1
18-Aug-98,1550119,Ukraine,UKR,Wrestling,Men's Greco-Roman 67kg,Male,2,,Silver ,NASIBOV Parviz,0,1
05-Oct-02,1981760,Azerbaijan,AZE,Wrestling,Men's Greco-Roman 67kg,Male,3,,Bronze ,JAFAROV Hasrat,0,1
22-Aug-94,1571498,Cuba,CUB,Wrestling,Men's Greco-Roman 67kg,Male,3,,Bronze ,ORTA SANCHEZ Luis Alberto,0,1
11-Dec-97,1559471,Bulgaria,BUL,Wrestling,Men's Greco-Roman 87kg,Male,1,,Gold ,NOVIKOV Semen Sergeevich,0,1
30-Oct-02,1544880,IR Iran,IRI,Wrestling,Men's Greco-Roman 87kg,Male,2,,Silver ,MOHMADIPIANI Alireza,0,1
24-Jan-91,1550116,Ukraine,UKR,Wrestling,Men's Greco-Roman 87kg,Male,3,,Bronze ,BELENIUK Zhan,0,1
14-Oct-01,1879518,Denmark,DEN,Wrestling,Men's Greco-Roman 87kg,Male,3,,Bronze ,BISULTANOV Turpal Ali,0,1
11-Nov-03,1939711,Japan,JPN,Wrestling,Women's Freestyle 53kg,Female,1,,Gold ,FUJINAMI Akari,1,0
18-Feb-01,1960228,Ecuador,ECU,Wrestling,Women's Freestyle 53kg,Female,2,,Silver ,YEPEZ GUZMAN Lucia Yamileth,1,0
10-May-00,1980149,DPR Korea,PRK,Wrestling,Women's Freestyle 53kg,Female,3,,Bronze ,CHOE Hyo Gyong,1,0
13-Nov-96,1920006,China,CHN,Wrestling,Women's Freestyle 53kg,Female,3,,Bronze ,PANG Qianyu,1,0
27-Jul-97,1960684,United States,USA,Athletics,Men's 400m Hurdles,Male,1,,Gold ,BENJAMIN Rai,0,1
28-Feb-96,1894095,Norway,NOR,Athletics,Men's 400m Hurdles,Male,2,,Silver ,WARHOLM Karsten,0,1
03-Jun-00,1951913,Brazil,BRA,Athletics,Men's 400m Hurdles,Male,3,,Bronze ,dos SANTOS Alison,0,1
23-Feb-01,1904099,Spain,ESP,Athletics,Men's Triple Jump,Male,1,,Gold ,DIAZ FORTUN Jordan Alejandro,0,1
30-Jun-93,1938792,Portugal,POR,Athletics,Men's Triple Jump,Male,2,,Silver ,PICHARDO Pedro,0,1
25-Dec-95,1552375,Italy,ITA,Athletics,Men's Triple Jump,Male,3,,Bronze ,DIAZ HERNANDEZ Andy,0,1
05-Mar-00,1910560,Kenya,KEN,Athletics,"Women's 10,000m",Female,1,,Gold ,CHEBET Beatrice,1,0
12-Apr-00,1552305,Italy,ITA,Athletics,"Women's 10,000m",Female,2,,Silver ,BATTOCLETTI Nadia,1,0
01-Jan-93,1972105,Netherlands,NED,Athletics,"Women's 10,000m",Female,3,,Bronze ,HASSAN Sifan,1,0
25-Oct-96,1899666,Dominican Republic,DOM,Athletics,Women's 400m,Female,1,,Gold ,PAULINO Marileidy,1,0
23-May-98,1915338,Bahrain,BRN,Athletics,Women's 400m,Female,2,,Silver ,NASER Salwa Eid,1,0
17-Jan-98,1573098,Poland,POL,Athletics,Women's 400m,Female,3,,Bronze ,KACZMAREK Natalia,1,0
03-Oct-98,1920183,Germany,GER,Athletics,Women's Shot Put,Female,1,,Gold ,OGUNLEYE Yemisi,1,0
13-Jun-99,1926695,New Zealand,NZL,Athletics,Women's Shot Put,Female,2,,Silver ,WESCHE Maddison-Lee,1,0
15-Sep-97,1919065,China,CHN,Athletics,Women's Shot Put,Female,3,,Bronze ,SONG Jiayuan,1,0
08-May-01,1556797,Uzbekistan,UZB,Boxing,Men's 71kg,Male,1,,Gold ,MUYDINKHUJAEV Asadkhuja,0,1
11-Feb-02,1535187,Mexico,MEX,Boxing,Men's 71kg,Male,2,,Silver ,VERDE ALVAREZ Marco Alonso,0,1
13-May-99,1556860,Uzbekistan,UZB,Boxing,Men's 92kg,Male,1,,Gold ,MULLOJONOV Lazizbek,0,1
28-Jul-95,1972343,Azerbaijan,AZE,Boxing,Men's 92kg,Male,2,,Silver ,ALFONSO DOMINGUEZ Loren Berto,0,1
13-Jan-95,1926833,China,CHN,Boxing,Women's 50kg,Female,1,,Gold ,WU Yu,1,0
26-May-96,1568182,Turkiye,TUR,Boxing,Women's 50kg,Female,2,,Silver ,CAKIROGLU Buse Naz,1,0
02-May-99,1540353,Algeria,ALG,Boxing,Women's 66kg,Female,1,,Gold ,KHELIF Imane,1,0
20-May-92,1926827,China,CHN,Boxing,Women's 66kg,Female,2,,Silver ,YANG Liu,1,0
11-Dec-98,1953038,Japan,JPN,Breaking,B-Girls,Female,1,,Gold ,AMI,1,0
08-Jun-07,1924559,Lithuania,LTU,Breaking,B-Girls,Female,2,,Silver ,NICKA,1,0
19-Oct-05,1909907,China,CHN,Breaking,B-Girls,Female,3,,Bronze ,671,1,0
30-Apr-93,1878716,Czechia,CZE,Canoe Sprint,Men's Canoe Single 1000m,Male,1,,Gold ,FUKSA Martin,0,1
03-Jan-94,1952595,Brazil,BRA,Canoe Sprint,Men's Canoe Single 1000m,Male,2,,Silver ,QUEIROZ Isaquias,0,1
24-Jun-97,1550295,Republic of Moldova,MDA,Canoe Sprint,Men's Canoe Single 1000m,Male,3,,Bronze ,TARNOVSCHI Serghei,0,1
14-Mar-97,1969182,Netherlands,NED,Cycling Track,Men's Sprint,Male,1,,Gold ,LAVREYSEN Harrie,0,1
17-Apr-99,1940263,Australia,AUS,Cycling Track,Men's Sprint,Male,2,,Silver ,RICHARDSON Matthew,0,1
23-Apr-97,1912515,Great Britain,GBR,Cycling Track,Men's Sprint,Male,3,,Bronze ,CARLIN Jack,0,1
15-Jun-99,1901538,China,CHN,Diving,Women's 3m Springboard,Female,1,,Gold ,CHEN Yiwen,1,0
23-May-96,1940414,Australia,AUS,Diving,Women's 3m Springboard,Female,2,,Silver ,KEENEY Maddison,1,0
07-Dec-01,1901539,China,CHN,Diving,Women's 3m Springboard,Female,3,,Bronze ,CHANG Yani,1,0
27-Mar-97,1909030,Hungary,HUN,Marathon Swimming,Men's 10km,Male,1,,Gold ,RASOVSZKY Kristof,0,1
18-Mar-02,1907234,Germany,GER,Marathon Swimming,Men's 10km,Male,2,,Silver ,KLEMET Oliver,0,1
04-Sep-03,1902450,Hungary,HUN,Marathon Swimming,Men's 10km,Male,3,,Bronze ,BETLEHEM David,0,1
01-Feb-01,1566437,Austria,AUT,Sailing,Men's Kite,Male,1,,Gold ,BONTUS Valentin,0,1
07-Jun-00,1981549,Slovenia,SLO,Sailing,Men's Kite,Male,2,,Silver ,VODISEK Toni,0,1
12-Sep-06,1535852,Singapore,SGP,Sailing,Men's Kite,Male,3,,Bronze ,MAEDER Maximilian,0,1
15-Mar-05,1544218,Great Britain,GBR,Sport Climbing,Men's Boulder & Lead,Male,1,,Gold ,ROBERTS Toby,0,1
14-Nov-06,1892022,Japan,JPN,Sport Climbing,Men's Boulder & Lead,Male,2,,Silver ,ANRAKU Sorato,0,1
31-Dec-90,1560677,Austria,AUT,Sport Climbing,Men's Boulder & Lead,Male,3,,Bronze ,SCHUBERT Jakob,0,1
06-Sep-95,1947737,Tunisia,TUN,Taekwondo,Men -80kg,Male,1,,Gold ,KATOUSSI Firas,0,1
26-Jul-00,1536058,IR Iran,IRI,Taekwondo,Men -80kg,Male,2,,Silver ,BARKHORDARI Mehran,0,1
14-Apr-00,1929685,Italy,ITA,Taekwondo,Men -80kg,Male,3,,Bronze ,ALESSIO Simone,0,1
26-Dec-03,1914832,Denmark,DEN,Taekwondo,Men -80kg,Male,3,,Bronze ,HRNIC Edi,0,1
16-Feb-06,1572318,Hungary,HUN,Taekwondo,Women -67kg,Female,1,,Gold ,MARTON Viviana,1,0
02-Jul-02,1956372,Serbia,SRB,Taekwondo,Women -67kg,Female,2,,Silver ,PERISIC Aleksandra,1,0
13-Sep-05,1930773,United States,USA,Taekwondo,Women -67kg,Female,3,,Bronze ,TEACHOUT Kristina,1,0
02-May-05,1903284,Belgium,BEL,Taekwondo,Women -67kg,Female,3,,Bronze ,CHAARI Sarah,1,0
12-May-04,1903011,Bulgaria,BUL,Weightlifting,Men's 89kg,Male,1,,Gold ,NASAR Karlos May,0,1
01-Sep-99,1543506,Colombia,COL,Weightlifting,Men's 89kg,Male,2,,Silver ,LOPEZ Yeison,0,1
20-Aug-96,1568724,Italy,ITA,Weightlifting,Men's 89kg,Male,3,,Bronze ,PIZZOLATO Antonino,0,1
19-Apr-03,1917154,United States,USA,Weightlifting,Women's 71kg,Female,1,,Gold ,REEVES Olivia,1,0
08-Oct-91,1543509,Colombia,COL,Weightlifting,Women's 71kg,Female,2,,Silver ,SANCHEZ Mari Leivis,1,0
12-Sep-00,1940300,Ecuador,ECU,Weightlifting,Women's 71kg,Female,3,,Bronze ,PALACIOS DAJOMES Angie Paola,1,0
28-Jan-96,1939714,Japan,JPN,Wrestling,Men's Freestyle 57kg,Male,1,,Gold ,HIGUCHI Rei,0,1
14-Oct-98,1955415,United States,USA,Wrestling,Men's Freestyle 57kg,Male,2,,Silver ,LEE Spencer Richard,0,1
16-Jul-03,1931496,India,IND,Wrestling,Men's Freestyle 57kg,Male,3,,Bronze ,AMAN Aman,0,1
11-Nov-98,1562157,Uzbekistan,UZB,Wrestling,Men's Freestyle 57kg,Male,3,,Bronze ,ABDULLAEV Gulomjon,0,1
22-May-93,1556873,Bulgaria,BUL,Wrestling,Men's Freestyle 86kg,Male,1,,Gold ,RAMAZANOV Magomed Eldarovitch,0,1
26-Dec-94,1544803,IR Iran,IRI,Wrestling,Men's Freestyle 86kg,Male,2,,Silver ,YAZDANICHARATI Hassan,0,1
15-Jun-00,1955300,United States,USA,Wrestling,Men's Freestyle 86kg,Male,3,,Bronze ,BROOKS Aaron Marquel,0,1
12-Jul-92,1963800,Greece,GRE,Wrestling,Men's Freestyle 86kg,Male,3,,Bronze ,KURUGLIEV Dauren,0,1
03-Sep-01,1939710,Japan,JPN,Wrestling,Women's Freestyle 57kg,Female,1,,Gold ,SAKURAI Tsugumi,1,0
19-Feb-99,1572203,Republic of Moldova,MDA,Wrestling,Women's Freestyle 57kg,Female,2,,Silver ,NICHITA Anastasia,1,0
19-Sep-91,1955426,United States,USA,Wrestling,Women's Freestyle 57kg,Female,3,,Bronze ,MAROULIS Helen Louise,1,0
06-Jan-03,1920010,China,CHN,Wrestling,Women's Freestyle 57kg,Female,3,,Bronze ,HONG Kexin,1,0
19-Sep-00,1898250,Norway,NOR,Athletics,Men's 5000m,Male,1,,Gold ,INGEBRIGTSEN Jakob,0,1
19-Sep-95,1963077,Kenya,KEN,Athletics,Men's 5000m,Male,2,,Silver ,KWEMOI Ronald,0,1
22-Apr-97,1960959,United States,USA,Athletics,Men's 5000m,Male,3,,Bronze ,FISHER Grant,0,1
01-Aug-04,1910412,Kenya,KEN,Athletics,Men's 800m,Male,1,,Gold ,WANYONYI Emmanuel,0,1
20-Sep-98,1974048,Canada,CAN,Athletics,Men's 800m,Male,2,,Silver ,AROP Marco,0,1
03-May-99,1963520,Algeria,ALG,Athletics,Men's 800m,Male,3,,Bronze ,SEDJATI Djamel,0,1
17-Aug-96,1926713,New Zealand,NZL,Athletics,Men's High Jump,Male,1,,Gold ,KERR Hamish,0,1
06-Apr-96,1965306,United States,USA,Athletics,Men's High Jump,Male,2,,Silver ,McEWEN Shelby,0,1
24-Jun-91,1566681,Qatar,QAT,Athletics,Men's High Jump,Male,3,,Bronze ,BARSHIM Mutaz Essa,0,1
11-Aug-91,1901284,Ethiopia,ETH,Athletics,Men's Marathon,Male,1,,Gold ,TOLA Tamirat,0,1
10-Feb-89,1942753,Belgium,BEL,Athletics,Men's Marathon,Male,2,,Silver ,ABDI Bashir,0,1
17-Mar-91,1910555,Kenya,KEN,Athletics,Men's Marathon,Male,3,,Bronze ,KIPRUTO Benson,0,1
17-Jun-00,1960169,United States,USA,Athletics,Women's 100m Hurdles,Female,1,,Gold ,RUSSELL Masai,1,0
31-Oct-00,1911932,France,FRA,Athletics,Women's 100m Hurdles,Female,2,,Silver ,SAMBA-MAYELA Cyrena,1,0
21-Aug-96,1537183,Puerto Rico,PUR,Athletics,Women's 100m Hurdles,Female,3,,Bronze ,CAMACHO-QUINN Jasmine,1,0
10-Jan-94,1910451,Kenya,KEN,Athletics,Women's 1500m,Female,1,,Gold ,KIPYEGON Faith,1,0
22-Oct-96,1939795,Australia,AUS,Athletics,Women's 1500m,Female,2,,Silver ,HULL Jessica,1,0
17-Oct-93,1956840,Great Britain,GBR,Athletics,Women's 1500m,Female,3,,Bronze ,BELL Georgia,1,0
16-Mar-98,1919914,Japan,JPN,Athletics,Women's Javelin Throw,Female,1,,Gold ,KITAGUCHI Haruka,1,0
03-Oct-97,1981085,South Africa,RSA,Athletics,Women's Javelin Throw,Female,2,,Silver ,van DYK Jo-Ane,1,0
18-Aug-90,1892137,Czechia,CZE,Athletics,Women's Javelin Throw,Female,3,,Bronze ,OGRODNIKOVA Nikola,1,0
08-Jul-94,1556869,Uzbekistan,UZB,Boxing,Men's +92kg,Male,1,,Gold ,JALOLOV Bakhodir,0,1
06-Dec-98,1934775,Spain,ESP,Boxing,Men's +92kg,Male,2,,Silver ,GHADFA DRISSI EL AISSAOUI Ayoub,0,1
09-Apr-00,1556049,Uzbekistan,UZB,Boxing,Men's 57kg,Male,1,,Gold ,KHALOKOV Abdumalik,0,1
01-Jan-96,1878687,Kyrgyzstan,KGZ,Boxing,Men's 57kg,Male,2,,Silver ,SEIITBEK UULU Munarbek,0,1
13-Dec-95,1887963,Chinese Taipei,TPE,Boxing,Women's 57kg,Female,1,,Gold ,LIN Yu Ting,1,0
24-Aug-03,1568655,Poland,POL,Boxing,Women's 57kg,Female,2,,Silver ,SZEREMETA Julia,1,0
06-Jun-90,1926826,China,CHN,Boxing,Women's 75kg,Female,1,,Gold ,LI Qian,1,0
06-Apr-89,1965679,Panama,PAN,Boxing,Women's 75kg,Female,2,,Silver ,BYLON Atheyna Bibeichi,1,0
25-Jan-97,1958888,Canada,CAN,Breaking,B-Boys,Male,1,,Gold ,PHIL WIZARD,0,1
03-May-88,1880191,France,FRA,Breaking,B-Boys,Male,2,,Silver ,DANY DANN,0,1
01-May-94,1955590,United States,USA,Breaking,B-Boys,Male,3,,Bronze ,VICTOR,0,1
03-Mar-93,1878715,Czechia,CZE,Canoe Sprint,Men's Kayak Single 1000m,Male,1,,Gold ,DOSTAL Josef,0,1
20-Nov-99,1570863,Hungary,HUN,Canoe Sprint,Men's Kayak Single 1000m,Male,2,,Silver ,VARGA Adam,0,1
20-Jun-97,1569972,Hungary,HUN,Canoe Sprint,Men's Kayak Single 1000m,Male,3,,Bronze ,KOPASZ Balint,0,1
12-Mar-96,1964547,Canada,CAN,Canoe Sprint,Women's Canoe Single 200m,Female,1,,Gold ,VINCENT Katie,1,0
02-Jun-02,1955126,United States,USA,Canoe Sprint,Women's Canoe Single 200m,Female,2,,Silver ,HARRISON Nevin,1,0
10-May-02,1564506,Cuba,CUB,Canoe Sprint,Women's Canoe Single 200m,Female,3,,Bronze ,CIRILO DUBOYS Yarisleidis,1,0
23-Jun-89,1945383,New Zealand,NZL,Canoe Sprint,Women's Kayak Single 500m,Female,1,,Gold ,CARRINGTON Lisa,1,0
24-Aug-89,1568350,Hungary,HUN,Canoe Sprint,Women's Kayak Single 500m,Female,2,,Silver ,CSIPES Tamara,1,0
30-Jan-96,1892423,Denmark,DEN,Canoe Sprint,Women's Kayak Single 500m,Female,3,,Bronze ,JORGENSEN Emma Aastrand,1,0
07-Feb-95,1901556,China,CHN,Diving,Men's 10m Platform,Male,1,,Gold ,CAO Yuan,0,1
11-Sep-06,1891685,Japan,JPN,Diving,Men's 10m Platform,Male,2,,Silver ,TAMAI Rikuto,0,1
15-May-00,1900857,Great Britain,GBR,Diving,Men's 10m Platform,Male,3,,Bronze ,WILLIAMS Noah,0,1
24-Apr-97,1939553,New Zealand,NZL,Golf,Women's Individual Stroke Play,Female,1,,Gold ,KO Lydia,1,0
14-Jan-99,1892506,Germany,GER,Golf,Women's Individual Stroke Play,Female,2,,Silver ,HENSELEIT Esther,1,0
25-Feb-96,1913218,China,CHN,Golf,Women's Individual Stroke Play,Female,3,,Bronze ,LIN Xiyu Janet,1,0
01-Mar-00,1932649,Egypt,EGY,Modern Pentathlon,Men's Individual,Male,1,,Gold ,ELGENDY Ahmed,0,1
20-Oct-93,1887939,Japan,JPN,Modern Pentathlon,Men's Individual,Male,2,,Silver ,SATO Taishu,0,1
27-Jan-00,1553031,Italy,ITA,Modern Pentathlon,Men's Individual,Male,3,,Bronze ,MALAN Giorgio,0,1
12-Mar-99,1981131,Slovenia,SLO,Sport Climbing,Women's Boulder & Lead,Female,1,,Gold ,GARNBRET Janja,1,0
09-Apr-01,1950307,United States,USA,Sport Climbing,Women's Boulder & Lead,Female,2,,Silver ,RABOUTOU Brooke,1,0
22-Nov-96,1560673,Austria,AUT,Sport Climbing,Women's Boulder & Lead,Female,3,,Bronze ,PILZ Jessica,1,0
16-Dec-03,1536045,IR Iran,IRI,Taekwondo,Men +80kg,Male,1,,Gold ,SALIMI Arian,0,1
07-May-03,1896149,Great Britain,GBR,Taekwondo,Men +80kg,Male,2,,Silver ,CUNNINGHAM Caden,0,1
12-Aug-93,1897088,Cuba,CUB,Taekwondo,Men +80kg,Male,3,,Bronze ,ALBA Rafael,0,1
19-Sep-93,1548401,Côte d'Ivoire,CIV,Taekwondo,Men +80kg,Male,3,,Bronze ,CISSE Cheick Sallah,0,1
01-Sep-01,1893272,France,FRA,Taekwondo,Women +67kg,Female,1,,Gold ,LAURIN Althea,1,0
03-May-00,1887768,Uzbekistan,UZB,Taekwondo,Women +67kg,Female,2,,Silver ,OSIPOVA Svetlana,1,0
07-Dec-96,1904039,Korea,KOR,Taekwondo,Women +67kg,Female,3,,Bronze ,LEE Dabin,1,0
20-Feb-95,1566738,Turkiye,TUR,Taekwondo,Women +67kg,Female,3,,Bronze ,KUS AYDIN Nafia,1,0
02-Oct-93,1551443,Georgia,GEO,Weightlifting,Men's +102kg,Male,1,,Gold ,TALAKHADZE Lasha,0,1
01-May-99,1544424,Armenia,ARM,Weightlifting,Men's +102kg,Male,2,,Silver ,LALAYAN Varazdat,0,1
25-Oct-94,1540334,Bahrain,BRN,Weightlifting,Men's +102kg,Male,3,,Bronze ,MINASYAN Gor,0,1
20-Aug-01,1918369,China,CHN,Weightlifting,Men's 102kg,Male,1,,Gold ,LIU Huanhua,0,1
08-Oct-99,1551307,Uzbekistan,UZB,Weightlifting,Men's 102kg,Male,2,,Silver ,DJURAEV Akbar,0,1
04-Nov-98,1569832,AIN,AIN,Weightlifting,Men's 102kg,Male,3,,Bronze ,TSIKHANTSOU Yauheni,0,1
13-Nov-98,1878625,Norway,NOR,Weightlifting,Women's 81kg,Female,1,,Gold ,KOANDA Solfrid Eila Amena,1,0
01-Jan-98,1563010,Egypt,EGY,Weightlifting,Women's 81kg,Female,2,,Silver ,AHMED Sara,1,0
12-May-98,1940308,Ecuador,ECU,Weightlifting,Women's 81kg,Female,3,,Bronze ,DAJOMES BARRERA Neisi Patricia,1,0
01-Apr-94,1554885,Georgia,GEO,Wrestling,Men's Freestyle 125kg,Male,1,,Gold ,PETRIASHVILI Geno,0,1
16-Jan-01,1543088,IR Iran,IRI,Wrestling,Men's Freestyle 125kg,Male,2,,Silver ,ZARE Amir Hossein,0,1
22-Nov-90,1570546,Turkiye,TUR,Wrestling,Men's Freestyle 125kg,Male,3,,Bronze ,AKGUL Taha,0,1
13-May-92,1947172,Azerbaijan,AZE,Wrestling,Men's Freestyle 125kg,Male,3,,Bronze ,MESHVILDISHVILI Giorgi,0,1
01-Jun-98,1562164,Uzbekistan,UZB,Wrestling,Men's Freestyle 74kg,Male,1,,Gold ,JAMALOV Razambek Salambekovitch,0,1
22-Nov-94,1939708,Japan,JPN,Wrestling,Men's Freestyle 74kg,Male,2,,Silver ,TAKATANI Daichi,0,1
25-Feb-91,1955345,United States,USA,Wrestling,Men's Freestyle 74kg,Male,3,,Bronze ,DAKE Kyle Douglas,0,1
10-Dec-98,3429662,Albania,ALB,Wrestling,Men's Freestyle 74kg,Male,3,,Bronze ,VALIEV Chermen,0,1
20-Feb-02,1939702,Japan,JPN,Wrestling,Women's Freestyle 62kg,Female,1,,Gold ,MOTOKI Sakura,1,0
28-Aug-98,1897022,Ukraine,UKR,Wrestling,Women's Freestyle 62kg,Female,2,,Silver ,KOLIADENKO Iryna,1,0
04-May-93,1902786,Kyrgyzstan,KGZ,Wrestling,Women's Freestyle 62kg,Female,3,,Bronze ,TYNYBEKOVA Aisuluu,1,0
07-Feb-97,1878635,Norway,NOR,Wrestling,Women's Freestyle 62kg,Female,3,,Bronze ,BULLEN Grace Jacob,1,0
01-Jan-93,1972105,Netherlands,NED,Athletics,Women's Marathon,Female,1,,Gold ,HASSAN Sifan,1,0
03-Dec-96,1901487,Ethiopia,ETH,Athletics,Women's Marathon,Female,2,,Silver ,ASSEFA Tigst,1,0
13-Dec-89,1932851,Kenya,KEN,Athletics,Women's Marathon,Female,3,,Bronze ,OBIRI Hellen,1,0
14-Mar-97,1969182,Netherlands,NED,Cycling Track,Men's Keirin,Male,1,,Gold ,LAVREYSEN Harrie,0,1
17-Apr-99,1940263,Australia,AUS,Cycling Track,Men's Keirin,Male,2,,Silver ,RICHARDSON Matthew,0,1
24-Aug-92,1940262,Australia,AUS,Cycling Track,Men's Keirin,Male,3,,Bronze ,GLAETZER Matthew,0,1
24-Dec-94,1955106,United States,USA,Cycling Track,Women's Omnium,Female,1,,Gold ,VALENTE Jennifer,1,0
06-Jan-97,1572953,Poland,POL,Cycling Track,Women's Omnium,Female,2,,Silver ,PIKULIK Daria,1,0
04-Jan-01,1945080,New Zealand,NZL,Cycling Track,Women's Omnium,Female,3,,Bronze ,WOLLASTON Ally,1,0
31-Dec-99,1945040,New Zealand,NZL,Cycling Track,Women's Sprint,Female,1,,Gold ,ANDREWS Ellesse,1,0
07-Jan-00,1889704,Germany,GER,Cycling Track,Women's Sprint,Female,2,,Silver ,FRIEDRICH Lea,1,0
22-Dec-02,1912522,Great Britain,GBR,Cycling Track,Women's Sprint,Female,3,,Bronze ,FINUCANE Emma,1,0
24-Oct-00,1936619,Hungary,HUN,Modern Pentathlon,Women's Individual,Female,1,,Gold ,GULYAS Michelle,1,0
14-Jan-89,1545116,France,FRA,Modern Pentathlon,Women's Individual,Female,2,,Silver ,CLOUVEL Elodie,1,0
13-May-03,1786902,Korea,KOR,Modern Pentathlon,Women's Individual,Female,3,,Bronze ,SEONG Seungmin,1,0
05-Mar-00,1918376,China,CHN,Weightlifting,Women's +81kg,Female,1,,Gold ,LI Wenwen,1,0
12-Mar-03,1894414,Korea,KOR,Weightlifting,Women's +81kg,Female,2,,Silver ,PARK Hyejeong,1,0
06-May-94,1544179,Great Britain,GBR,Weightlifting,Women's +81kg,Female,3,,Bronze ,CAMPBELL Emily,1,0
12-Apr-01,1939700,Japan,JPN,Wrestling,Men's Freestyle 65kg,Male,1,,Gold ,KIYOOKA Kotaro,0,1
17-Jul-02,1544830,IR Iran,IRI,Wrestling,Men's Freestyle 65kg,Male,2,,Silver ,AMOUZADKHALILI Rahman,0,1
27-Aug-98,1537188,Puerto Rico,PUR,Wrestling,Men's Freestyle 65kg,Male,3,,Bronze ,RIVERA Sebastian C,0,1
15-Jan-95,1559387,Albania,ALB,Wrestling,Men's Freestyle 65kg,Male,3,,Bronze ,DUDAEV Islam,0,1
25-Jan-03,1540305,Bahrain,BRN,Wrestling,Men's Freestyle 97kg,Male,1,,Gold ,TAZHUDINOV Akhmed,0,1
17-May-97,1552495,Georgia,GEO,Wrestling,Men's Freestyle 97kg,Male,2,,Silver ,MATCHARASHVILI Givi,0,1
27-Jan-98,1981785,Azerbaijan,AZE,Wrestling,Men's Freestyle 97kg,Male,3,,Bronze ,MAGOMEDOV Magomedkhan,0,1
26-Mar-02,1543095,IR Iran,IRI,Wrestling,Men's Freestyle 97kg,Male,3,,Bronze ,AZARPIRA Amirali,0,1
14-Sep-01,1939701,Japan,JPN,Wrestling,Women's Freestyle 76kg,Female,1,,Gold ,KAGAMI Yuka,1,0
04-Sep-03,1955344,United States,USA,Wrestling,Women's Freestyle 76kg,Female,2,,Silver ,BLADES Kennedy Alexis,1,0
16-Mar-01,1571936,Cuba,CUB,Wrestling,Women's Freestyle 76kg,Female,3,,Bronze ,MARIN POTRILLE Milaimy de la Carid,1,0
22-Dec-00,1535513,Colombia,COL,Wrestling,Women's Freestyle 76kg,Female,3,,Bronze ,RENTERIA RENTERIA Tatiana,1,0
07-Dec-01,1901539,China,CHN,Diving,Women's Synchronised 3m Springboard,Female,1,,Gold ,CHANG Yani,1,0
15-Jun-99,1901538,China,CHN,Diving,Women's Synchronised 3m Springboard,Female,1,,Gold ,CHEN Yiwen,1,0
20-Sep-96,1954159,United States,USA,Diving,Women's Synchronised 3m Springboard,Female,2,,Silver ,BACON Sarah,1,0
09-May-95,1954168,United States,USA,Diving,Women's Synchronised 3m Springboard,Female,2,,Silver ,COOK Kassidy,1,0
